,Account,MacroAccount,Description
554,I037,INDUSTRY,Oil and gas engineering construction
555,I038,INDUSTRY,Electric power engineering construction
556,I039,INDUSTRY,Communication engineering construction
557,I040,INDUSTRY,Other engineering construction
558,I041,INDUSTRY,Repair construction
559,I042,INDUSTRY,Other activities of the construction industry
560,I043,INDUSTRY,Animal food manufacturing
561,I044,INDUSTRY,Grain and oilseed milling
562,I045,INDUSTRY,Sugar and confectionery product manufacturing
563,I046,INDUSTRY,Fruit and vegetable preserving and specialty food manufacturing
564,I047,INDUSTRY,Dairy product manufacturing
565,I048,INDUSTRY,Meat product manufacturing
566,I049,INDUSTRY,Seafood product preparation and packaging
567,I050,INDUSTRY,Bakeries and tortilla manufacturing
568,I051,INDUSTRY,Other food manufacturing
569,I052,INDUSTRY,Soft drink and ice manufacturing
570,I053,INDUSTRY,Breweries
571,I054,INDUSTRY,Wineries and distilleries
572,I055,INDUSTRY,Tobacco manufacturing
573,I056,INDUSTRY,Textile and textile product mills
574,I057,INDUSTRY,Clothing and leather and allied product manufacturing
575,I058,INDUSTRY,Sawmills and wood preservation
576,I059,INDUSTRY,"Veneer, plywood and engineered wood product manufacturing"
577,I060,INDUSTRY,Other wood product manufacturing
578,I061,INDUSTRY,"Pulp, paper and paperboard mills"
579,I062,INDUSTRY,Converted paper product manufacturing
580,I063,INDUSTRY,Printing and related support activities
581,I064,INDUSTRY,Petroleum refineries
582,I065,INDUSTRY,Petroleum and coal product manufacturing (except petroleum refineries)
583,I066,INDUSTRY,Basic chemical manufacturing
584,I068,INDUSTRY,"Pesticide, fertilizer and other agricultural chemical manufacturing"
585,I069,INDUSTRY,Pharmaceutical and medicine manufacturing
586,I070,INDUSTRY,"Soap, cleaning compound and toilet preparation manufacturing"
587,I071,INDUSTRY,Other chemical product manufacturing
588,I072,INDUSTRY,Plastic product manufacturing
589,I073,INDUSTRY,Rubber product manufacturing
590,I074,INDUSTRY,Non-metallic mineral product manufacturing (except cement and concrete products)
591,I075,INDUSTRY,Cement and concrete product manufacturing
592,I076,INDUSTRY,Iron and steel mills and ferro-alloy manufacturing
593,I077,INDUSTRY,Steel product manufacturing from purchased steel
594,I078,INDUSTRY,Alumina and aluminum production and processing
595,I079,INDUSTRY,Non-ferrous metal (except aluminum) production and processing
596,I080,INDUSTRY,Foundries
597,I081,INDUSTRY,Forging and stamping
598,I082,INDUSTRY,"Cutlery, hand tools and other fabricated metal product manufacturing"
599,I083,INDUSTRY,Architectural and structural metals manufacturing
600,I084,INDUSTRY,"Boiler, tank and shipping container manufacturing"
601,I085,INDUSTRY,Hardware manufacturing
602,I086,INDUSTRY,Spring and wire product manufacturing
603,I087,INDUSTRY,"Machine shops, turned product, and screw, nut and bolt manufacturing"
604,I088,INDUSTRY,"Coating, engraving, cold and heat treating and allied activities"
605,I089,INDUSTRY,"Agricultural, construction and mining machinery manufacturing"
606,I090,INDUSTRY,Industrial machinery manufacturing
607,I091,INDUSTRY,Commercial and service industry machinery manufacturing
608,I092,INDUSTRY,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing"
609,I093,INDUSTRY,Metalworking machinery manufacturing
610,I094,INDUSTRY,"Engine, turbine and power transmission equipment manufacturing"
611,I095,INDUSTRY,Other general-purpose machinery manufacturing
612,I096,INDUSTRY,Computer and peripheral equipment manufacturing
613,I097,INDUSTRY,Communications equipment manufacturing
614,I098,INDUSTRY,Other electronic product manufacturing
615,I099,INDUSTRY,Semiconductor and other electronic component manufacturing
616,I100,INDUSTRY,Electric lighting equipment manufacturing
617,I101,INDUSTRY,Household appliance manufacturing
618,I102,INDUSTRY,Electrical equipment manufacturing
619,I103,INDUSTRY,Other electrical equipment and component manufacturing
620,I104,INDUSTRY,Automobile and light-duty motor vehicle manufacturing
621,I105,INDUSTRY,Heavy-duty truck manufacturing
622,I106,INDUSTRY,Motor vehicle body and trailer manufacturing
623,I107,INDUSTRY,Motor vehicle gasoline engine and engine parts manufacturing
624,I108,INDUSTRY,Motor vehicle electrical and electronic equipment manufacturing
625,I109,INDUSTRY,Motor vehicle steering and suspension components (except spring) manufacturing
626,I110,INDUSTRY,Motor vehicle brake system manufacturing
627,I111,INDUSTRY,Motor vehicle transmission and power train parts manufacturing
628,I112,INDUSTRY,Motor vehicle seating and interior trim manufacturing
629,I113,INDUSTRY,Motor vehicle metal stamping
630,I114,INDUSTRY,Other motor vehicle parts manufacturing
631,I115,INDUSTRY,Aerospace product and parts manufacturing
632,I116,INDUSTRY,Railroad rolling stock manufacturing
633,I117,INDUSTRY,Ship and boat building
634,I118,INDUSTRY,Other transportation equipment manufacturing
635,I119,INDUSTRY,Household and institutional furniture and kitchen cabinet manufacturing
636,I120,INDUSTRY,Office furniture (including fixtures) manufacturing
637,I121,INDUSTRY,Other furniture-related product manufacturing
638,I122,INDUSTRY,Medical equipment and supplies manufacturing
639,I123,INDUSTRY,Other miscellaneous manufacturing
640,I124,INDUSTRY,Farm product merchant wholesalers
641,I125,INDUSTRY,Petroleum and petroleum products merchant wholesalers
642,I126,INDUSTRY,"Food, beverage and tobacco merchant wholesalers"
643,I127,INDUSTRY,Personal and household goods merchant wholesalers
644,I128,INDUSTRY,Motor vehicle and motor vehicle parts and accessories merchant wholesalers
645,I129,INDUSTRY,Building material and supplies merchant wholesalers
646,I130,INDUSTRY,"Machinery, equipment and supplies merchant wholesalers"
647,I131,INDUSTRY,Miscellaneous merchant wholesalers
648,I132,INDUSTRY,"Business-to-business electronic markets, and agents and brokers"
649,I133,INDUSTRY,Motor vehicle and parts dealers
650,I134,INDUSTRY,Furniture and home furnishings stores
651,I135,INDUSTRY,Electronics and appliance stores
652,I136,INDUSTRY,Building material and garden equipment and supplies dealers
653,I137,INDUSTRY,Food and beverage stores
654,I138,INDUSTRY,Health and personal care stores
655,I139,INDUSTRY,Gasoline stations
656,I140,INDUSTRY,Clothing and clothing accessories stores
657,I141,INDUSTRY,"Sporting goods, hobby, book and music stores"
658,I142,INDUSTRY,General merchandise stores
659,I143,INDUSTRY,Miscellaneous store retailers
660,I144,INDUSTRY,Non-store retailers
661,I145,INDUSTRY,Air transportation
662,I146,INDUSTRY,Rail transportation
663,I147,INDUSTRY,Water transportation
664,I148,INDUSTRY,Truck transportation
665,I149,INDUSTRY,Urban transit systems
666,I150,INDUSTRY,Other transit and ground passenger transportation and scenic and sightseeing transportation
667,I151,INDUSTRY,Taxi and limousine service
668,I152,INDUSTRY,Crude oil and other pipeline transportation
669,I153,INDUSTRY,Pipeline transportation of natural gas
670,I154,INDUSTRY,Support activities for transportation
671,I156,INDUSTRY,Warehousing and storage
672,I157,INDUSTRY,Newspaper publishers
673,I158,INDUSTRY,"Periodical, book and directory publishers"
674,I159,INDUSTRY,Software publishers
675,I160,INDUSTRY,Motion picture and video industries (except exhibition)
676,I161,INDUSTRY,Motion picture and video exhibition
677,I162,INDUSTRY,Sound recording industries
678,I163,INDUSTRY,Radio and television broadcasting
679,I164,INDUSTRY,Pay and specialty television
680,I165,INDUSTRY,Telecommunications
681,I166,INDUSTRY,"Data processing, hosting, and related services"
682,I167,INDUSTRY,Other information services
683,I168,INDUSTRY,Monetary authorities - central bank
684,I169,INDUSTRY,Banking and other depository credit intermediation
685,I170,INDUSTRY,Local credit unions
686,I171,INDUSTRY,Non-depository credit intermediation
687,I172,INDUSTRY,Activities related to credit intermediation
688,I173,INDUSTRY,"Financial investment services, funds and other financial vehicles"
689,I174,INDUSTRY,Insurance carriers
690,I175,INDUSTRY,"Agencies, brokerages and other insurance related activities"
691,I176,INDUSTRY,Lessors of real estate
692,I177,INDUSTRY,Offices of real estate agents and brokers and activities related to real estate
693,I178,INDUSTRY,Owner-occupied dwellings
694,I179,INDUSTRY,Automotive equipment rental and leasing
695,I180,INDUSTRY,Rental and leasing services (except automotive equipment)
696,I181,INDUSTRY,Lessors of non-financial intangible assets (except copyrighted works)
697,I182,INDUSTRY,Legal services
698,I183,INDUSTRY,"Accounting, tax preparation, bookkeeping and payroll services"
699,I184,INDUSTRY,"Architectural, engineering and related services"
700,I185,INDUSTRY,Specialized design services
701,I186,INDUSTRY,Computer systems design and related services
702,I187,INDUSTRY,"Management, scientific and technical consulting services"
703,I188,INDUSTRY,Scientific research and development services
704,I189,INDUSTRY,"Advertising, public relations, and related services"
705,I190,INDUSTRY,"Other professional, scientific and technical services"
706,I191,INDUSTRY,Holding companies
707,I192,INDUSTRY,Office administrative services
708,I193,INDUSTRY,Facilities and other support services
709,I194,INDUSTRY,Employment services
710,I195,INDUSTRY,Business support services
711,I196,INDUSTRY,Travel arrangement and reservation services
712,I197,INDUSTRY,Investigation and security services
713,I198,INDUSTRY,Services to buildings and dwellings
714,I199,INDUSTRY,Waste management and remediation services
715,I200,INDUSTRY,Educational services
716,I201,INDUSTRY,Offices of physicians
717,I202,INDUSTRY,Offices of dentists
718,I203,INDUSTRY,Miscellaneous ambulatory health care services
719,I204,INDUSTRY,Nursing and residential care facilities
720,I205,INDUSTRY,Social assistance
721,I206,INDUSTRY,"Performing arts, spectator sports and related industries, and heritage institutions"
722,I207,INDUSTRY,Amusement and recreation industries
723,I208,INDUSTRY,Gambling industries
724,I209,INDUSTRY,Traveller accommodation
725,I210,INDUSTRY,"Recreational vehicle (RV) parks, recreational camps, and rooming and boarding houses"
726,I211,INDUSTRY,Food services and drinking places
727,I212,INDUSTRY,Automotive repair and maintenance
728,I213,INDUSTRY,Repair and maintenance (except automotive)
729,I214,INDUSTRY,Personal care services and other personal services
730,I215,INDUSTRY,Funeral services
731,I216,INDUSTRY,Dry cleaning and laundry services
732,I217,INDUSTRY,"Business, professional and other membership organizations"
733,I218,INDUSTRY,Private households
734,I219,INDUSTRY,Repair and maintenance
735,I220,INDUSTRY,Operating supplies
736,I221,INDUSTRY,Office supplies
737,I222,INDUSTRY,"Advertising, promotion, meals and entertainment"
738,I223,INDUSTRY,"Travel, meetings and conventions"
739,I224,INDUSTRY,Transportation margins
740,I225,INDUSTRY,Educational services
741,I226,INDUSTRY,Ambulatory health care services
742,I227,INDUSTRY,Social assistance
743,I228,INDUSTRY,"Arts, entertainment and recreation"
744,I229,INDUSTRY,Religious organizations
745,I230,INDUSTRY,"Grant-making, civic, and professional and similar organizations"
746,I231,INDUSTRY,Other non-profit institutions serving households
747,I232,INDUSTRY,Elementary and secondary schools
748,I233,INDUSTRY,Community colleges and C.E.G.E.P.s
749,I234,INDUSTRY,Universities
750,I235,INDUSTRY,Other educational services
751,I236,INDUSTRY,Hospitals
752,I237,INDUSTRY,Nursing and residential care facilities
753,I238,INDUSTRY,Defence services
754,I239,INDUSTRY,Other federal government services (except defence)
755,I240,INDUSTRY,Other provincial and territorial government services
756,I241,INDUSTRY,Other municipal government services
757,I242,INDUSTRY,Other aboriginal government services
758,I519,INDUSTRY,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing"
759,I520,INDUSTRY,"Paint, coating and adhesive manufacturing"
760,I521,INDUSTRY,Postal service
761,I522,INDUSTRY,Couriers and messengers
762,I539,INDUSTRY,"Greenhouse, nursery and floriculture production (except cannabis)"
763,I540,INDUSTRY,Cannabis production (licensed)
764,I541,INDUSTRY,Cannabis production (unlicensed)
765,I542,INDUSTRY,Oil and gas extraction (except oil sands)
766,I543,INDUSTRY,Oil sands extraction
767,I544,INDUSTRY,Miscellaneous store retailers (except cannabis)
768,I545,INDUSTRY,Cannabis stores (licensed)
769,I546,INDUSTRY,Cannabis stores (unlicensed)
770,P1000,FACTOR,Taxes on products
771,P2000,FACTOR,Subsidies on products
772,P3000,FACTOR,Subsidies on production
773,P4000,FACTOR,Taxes on production
774,P5000,FACTOR,Wages and salaries
775,P6000,FACTOR,Employers social contributions
776,P7000,FACTOR,Gross mixed income
777,P8000,FACTOR,Gross operating surplus
778,HH1,AGENT,Households primary income
779,NPSH1,AGENT,Non-profit institutions serving households primary income
780,CORP1,AGENT,Corporations primary income
781,GOV1,AGENT,General government primary income
782,HH2,AGENT,Households secondary distribution of income
783,NPSH2,AGENT,Non-profit institutions serving households secondary distribution of income
784,CORP2,AGENT,Corporations secondary distribution of income
785,GOV2,AGENT,General government secondary distribution of income
786,HH3,AGENT,Households disposable income
787,NPSH3,AGENT,Non-profit institutions serving households disposable income
788,CORP3,AGENT,Corporations disposable income
789,GOV3,AGENT,General government disposable income
790,HH_CAP,AGENTCAP,Households capital account
791,NPSH_CAP,AGENTCAP,Non-profit institutions serving households capital account
792,CORP_CAP,AGENTCAP,Corporations capital account
793,GOV_CAP,AGENTCAP,General government capital account
794,GFCF_HH,GFCF,"Construction, residential structures"
795,GFCF_001,GFCF,Crop production
796,GFCF_002,GFCF,Animal production
797,GFCF_003,GFCF,Forestry and logging
798,GFCF_004,GFCF,"Fishing, hunting and trapping"
799,GFCF_005,GFCF,Support activities for agriculture and forestry
800,GFCF_006,GFCF,Oil and gas extraction (except oil sands)
801,GFCF_007,GFCF,Oil sands extraction
802,GFCF_008,GFCF,Mining and quarrying (except oil and gas)
803,GFCF_009,GFCF,"Support activities for mining, and oil and gas extraction"
804,GFCF_010,GFCF,Utilities
805,GFCF_011,GFCF,Construction
806,GFCF_012,GFCF,Food manufacturing
807,GFCF_013,GFCF,Beverage and tobacco product manufacturing
808,GFCF_014,GFCF,Textile and textile product mills
809,GFCF_015,GFCF,Clothing and leather and allied product manufacturing
810,GFCF_016,GFCF,Wood product manufacturing
811,GFCF_017,GFCF,Paper manufacturing
812,GFCF_018,GFCF,Printing and related support activities
813,GFCF_019,GFCF,Petroleum and coal product manufacturing
814,GFCF_020,GFCF,Chemical manufacturing
815,GFCF_021,GFCF,Plastics and rubber products manufacturing
816,GFCF_022,GFCF,Non-metallic mineral product manufacturing
817,GFCF_023,GFCF,Primary metal manufacturing
818,GFCF_024,GFCF,Fabricated metal product manufacturing
819,GFCF_025,GFCF,Machinery manufacturing
820,GFCF_026,GFCF,Computer and electronic product manufacturing
821,GFCF_027,GFCF,"Electrical equipment, appliance and component manufacturing"
822,GFCF_028,GFCF,Transportation equipment manufacturing
823,GFCF_029,GFCF,Furniture and related product manufacturing
824,GFCF_030,GFCF,Miscellaneous manufacturing
825,GFCF_031,GFCF,Wholesale trade
826,GFCF_032,GFCF,Retail trade
827,GFCF_033,GFCF,Transportation and warehousing
828,GFCF_034,GFCF,Information and cultural industries
829,GFCF_035,GFCF,Finance and insurance
830,GFCF_036,GFCF,Real estate and rental and leasing
831,GFCF_037,GFCF,"Professional, scientific and technical services"
832,GFCF_038,GFCF,Holding companies
833,GFCF_039,GFCF,"Administrative and support, waste management and remediation services"
834,GFCF_040,GFCF,Educational services
835,GFCF_041,GFCF,Health care and social assistance
836,GFCF_042,GFCF,"Arts, entertainment and recreation"
837,GFCF_043,GFCF,Accommodation and food services
838,GFCF_044,GFCF,Other services
839,GFCF_045,GFCF,Non-profit institutions serving households
840,GFCF_046,GFCF,"Governments, educational services"
841,GFCF_047,GFCF,"Governments, hospitals"
842,GFCF_048,GFCF,"Governments, nursing and residential care facilities"
843,GFCF_049,GFCF,"Governments, defence services"
844,GFCF_050,GFCF,"Governments, other federal government services (except defence)"
845,GFCF_051,GFCF,"Governments, other provincial and territorial government services"
846,GFCF_052,GFCF,"Governments, other municipal government services"
847,GFCF_053,GFCF,"Governments, other aboriginal government services"
848,INV,INVENTORY,Inventories
849,INT_RES,FINANCIAL,Official international reserves
850,CUR_DEPO,FINANCIAL,Total currency and deposits
851,DEBT_SEC,FINANCIAL,Debt securities
852,LOANS,FINANCIAL,Loans
853,INV_FUN,FINANCIAL,Equity and investment funds
854,PENSIONS,FINANCIAL,Life insurance and pensions
855,OTHERS,FINANCIAL,Other accounts
856,RoW,ROW,Rest of the world
